_date,total_clones,unique_clones
2022-03-10,1,1
2022-03-16,5,4
2022-03-21,2,2
2022-03-28,2,2
2022-04-04,1,1
2022-04-11,2,2
2022-04-18,3,3
2022-04-25,4,4
2022-04-29,1,1
2022-05-02,3,3
2022-05-09,2,2
2022-05-15,4,2
2022-05-16,3,3
2022-05-21,2,1
2022-05-23,3,3
2022-05-30,3,3
2022-06-02,2,1
2022-06-06,2,2
2022-06-11,2,1
2022-06-13,3,2
2022-06-20,3,3
2022-06-26,2,1
2022-06-27,2,2
2022-07-04,2,2
2022-07-05,4,3
2022-07-11,3,3
2022-07-13,2,1
2022-07-18,1,1
2022-07-22,2,1
2022-07-24,1,1
2022-07-25,2,2
2022-07-29,1,1
2022-07-31,2,1
2022-08-01,3,3
2022-08-02,1,1
2022-08-08,3,3
2022-08-09,2,1
2022-08-15,5,4
2022-08-19,2,1
2022-08-22,1,1
2022-08-29,1,1
2022-08-30,2,1
2022-09-02,1,1
2022-09-05,1,1
2022-09-12,1,1
2022-09-13,2,1
2022-09-19,1,1
2022-09-22,1,1
2022-09-24,1,1
2022-09-26,2,2
2022-10-03,1,1
2022-10-04,1,1
2022-10-10,2,2
2022-10-14,1,1
2022-10-15,1,1
2022-10-16,1,1
2022-10-17,2,2
2022-10-20,1,1
2022-10-22,1,1
2022-10-24,1,1
2022-10-25,1,1
2022-10-28,1,1
2022-10-31,2,2
2022-11-05,1,1
2022-11-07,3,3
2022-11-11,1,1
2022-11-13,1,1
2022-11-14,1,1
2022-11-18,1,1
2022-11-21,2,2
2022-11-23,1,1
2022-11-25,1,1
2022-11-28,1,1
2022-12-01,1,1
2022-12-02,1,1
2022-12-03,1,1
2022-12-05,1,1
2022-12-07,2,1
2022-12-09,1,1
2022-12-12,2,2
2022-12-13,1,1
2022-12-16,1,1
2022-12-19,2,2
2022-12-24,1,1
2022-12-26,1,1
2022-12-30,1,1
2023-01-01,1,1
