_date,total_views,unique_views
2022-03-11,1,1
2022-03-16,6,2
2022-03-25,13,1
2022-04-29,3,1
2022-05-09,6,1
2022-05-17,11,1
2022-09-19,2,1
2022-10-31,4,1
2022-11-15,2,1
2023-01-17,2,1
2023-01-27,4,1
2023-09-11,12,1
2023-09-20,10,1
2023-10-10,10,1
2023-10-19,10,1
2023-10-24,14,2
2023-10-29,1,1
2023-11-01,2,1
2023-11-07,2,1
2023-11-13,1,1
2023-12-08,23,2
2023-12-11,80,3
2023-12-12,2,1
2023-12-13,38,3
2023-12-19,4,1
2024-04-25,21,1
2024-04-28,21,1
2024-07-02,3,1
2024-08-02,4,1
2024-10-28,7,1
2024-11-05,1,1
2024-11-14,6,1
2024-12-20,1,1
2025-01-13,2,1
2025-01-21,1,1
2025-02-05,2,1
2025-02-17,1,1
2025-02-28,4,1
2025-03-27,3,3
2025-04-12,3,1
2025-07-14,1,1
2025-07-31,22,1
2025-09-03,1,1
2025-10-28,3,1
2025-11-11,2,2
2025-11-19,1,1
2025-12-03,1,1
2025-12-04,5,1
2025-12-05,3,1
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,2,2
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,1,1
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,2,2
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
